word,category,meanings,is
अँ,नि.,"कुनै कुरा मान्छु वा हो भन्ने बुझाउन प्रयोग गरिने शब्द
कुनै कुरा मान्दिन वा गर्दिन भन्ने बुझाउन प्रयोग गरिने शब्द
कुनै नयाँ प्रसङ्ग सुरु गर्न वा केही बेर रोकिएर फेरि प्रसङ्ग जोड्न प्रयोग गरिने शब्द
कुरा गर्दागर्दै अलमलिँदा वा बिर्सँदा खाली ठाउँ भर्न प्रयोग गरिने शब्द",I
अँगाल्नु,एक.  क्रि.,"एक वा दुवै हातले अर्काको गर्धन बेर्नु
कुनै कुराको पक्ष लिनु
कुनै पेसामा लाग्नु
प्रयोग गर्नु
कुनै नीति वा सिद्धान्त अनुसरण गर्नु
स्वीकार गर्नु",ISI
अँजुली,सङ्.  ना.,दुबै हत्केलालाई हल्का कोप्रो पारेर जोड्दा बन्ने आकार,IIS
अँध्यारो,असङ्.  ना.,"उज्यालो वा प्रकाश नभएको अवस्था
उज्यालो वा प्रकाश नभएको वा कम भएको
चहक, आशा वा खुसी नभएको",SSS
अङ्क,सङ्.  ना.,"एकदेखि नौसम्मका गन्ती बुझाउने सङ्ख्या
पत्रपत्रिकाको एकपटकको प्रकाशन
नाटकको खण्ड वा अध्याय
मूल्याङ्कन गरेर गुण वा योग्यताको तह बुझाउन प्रयोग गरिने सङ्ख्या
सङ्ख्यामा व्यक्त गरिएको परिमाण
गन्ती बुझाउने सङ्ख्या लेख्न प्रयोग गरिने चिह्न",SI
अंश,सङ्.  ना.,कुनै वस्तुको एक भाग,SI
अकबर,सङ्.  ना.,भारतमा मुस्लिम शासनका बेलाका एक प्रसिद्ध मुगल शासक,IIII
अकस्मात,क्रियो.,विना कुनै तयारी; अचानक,ISSI
अक्टोबर,ना.,अङ्ग्रेजी पात्रो अनुसार दसौं महिना; सेप्टेम्बरभन्दा पछिल्लो र नोभेम्बरभन्दा अघिल्लो महिना,SSII
अक्षर,सङ्.  ना.,कुनै भाषाको वर्णमालामा भएको एउटा वर्ण,SII
अक्सर,अनि.  क्रियो.,प्रायः; धेरै जसो,SII
अखडा,सङ्.  ना.,"कुनै समूहका मानिसहरू भेला हुने ठाउँ
कुनै संघ संस्था, समूह आदिको कार्यालय",IIS
अखबार,सङ्.  ना.,पत्रपत्रिका; समाचारपत्र; खबरकागज,IISI
अख्तियार,ना.,"कुनै पदमा रहेको कारणले व्यक्तिले पाएको अधिकार; पदीय अधिकार
अवलम्बन; अनुसरण",SISI
अगाडि,स्था.  क्रियो.,"प्रसङ्गको स्थानको अघितिर वा सामुन्नेको दिशामा
सामुन्नेमा
प्रसङ्गको समयभन्दा पहिलेको समयमा
कुनै कुराको प्रसङ्गको क्रममा",ISI
अगाध,वि.,ज्यादै गहिरो; गम्भीर; अथाह,ISI
अगावै,कासा.  क्रियो.,कुनै समय वा घटनाभन्दा पहिले नै; अगाडि नै,ISS
अग्नि,असङ्.  ना.,पदार्थ जलेर ताप र प्रकाश पैदा गरेको अवस्था ,SI
अग्रज,सङ्.  ना.,"पहिले जन्मेको अथवा कुनै काम पहिला सुरु गरेको व्यक्ति
कुनै क्षेत्र विशेषमा काम पहिला सुरु गरेको; पहिले जन्मेको",SII
अग्रणी,वि.,"काम, योग्यता, योगदान आदिको दृष्टिकोणले अगाडि रहेको",SIS
अग्रसर,वि.,अघि सरेको; अघि बढेको,SIII
अग्लो,वि.,"बढी उचाइ भएको
निश्चित नापको उचाइ भएको",SS
अङ्ग,सङ्.  ना.,"शरीरको भित्र वा बाहिरको कुनै भाग
कुनै वस्तु, चिज, विचार, संरचना आदिको अभिन्न अंश",SI
अचम्म,असङ्.  ना.,"नसोचेको र कल्पना नगरेको किसिम
विश्वास नहुने",ISI
अचाक्ली,ना.,"अन्याय; अत्याचार
ज्यादै धेरै; अति",ISS
